query	sample_id	kmer_similarity
IS_length_1391-IPR001207_495_804	SAMN04498675	0.988243938280676
IS_length_1391-IPR001207_495_804	SAMEA3359021	0.988243938280676
IS_length_1391-IPR001207_495_804	SAMN07766020	0.988243938280676
IS_length_1391-IPR001207_495_804	SAMN07660079	0.988243938280676
IS_length_1391-IPR001207_495_804	SAMN05276350	0.988243938280676
IS_length_1391-IPR001207_495_804	SAMEA1483369	0.988243938280676
IS_length_1391-IPR001207_495_804	SAMN07511384	0.9875091844232182
IS_length_1391-IPR001207_495_804	SAMEA3319251	0.9875091844232182
IS_length_1391-IPR001207_495_804	SAMEA3594159	0.9875091844232182
IS_length_1391-IPR001207_495_804	SAMN03197461	0.9875091844232182
IS_length_1391-IPR001207_495_804	SAMN04480419	0.9875091844232182
IS_length_1391-IPR001207_495_804	SAMN04480428	0.9875091844232182
IS_length_1391-IPR001207_495_804	SAMN09914437	0.9875091844232182
IS_length_1391-IPR001207_495_804	SAMN05721786	0.9875091844232182
IS_length_1391-IPR001207_495_804	SAMEA104208678	0.9875091844232182
IS_length_1391-IPR001207_495_804	SAMN03198183	0.9875091844232182
IS_length_1391-IPR001207_495_804	SAMN06680407	0.9875091844232182
IS_length_1391-IPR001207_495_804	SAMN06624490	0.9875091844232182
IS_length_1391-IPR001207_495_804	SAMN06624491	0.9875091844232182
IS_length_1391-IPR001207_495_804	SAMEA104685077	0.9875091844232182
IS_length_1391-IPR001207_495_804	SAMN07660192	0.9875091844232182
IS_length_1391-IPR001207_495_804	SAMEA104153400	0.9875091844232182
IS_length_1391-IPR001207_495_804	SAMN09730334	0.9867744305657604
IS_length_1391-IPR001207_495_804	SAMN09730337	0.9867744305657604
IS_length_1391-IPR001207_495_804	SAMN09730375	0.9867744305657604
IS_length_1391-IPR001207_495_804	SAMN02641059	0.9867744305657604
IS_length_1391-IPR001207_495_804	SAMN03433966	0.9867744305657604
IS_length_1391-IPR001207_495_804	SAMN04477616	0.9867744305657604
IS_length_1391-IPR001207_495_804	SAMEA104153442	0.9867744305657604
IS_length_1391-IPR001207_495_804	SAMN03197137	0.9867744305657604
IS_length_1391-IPR001207_495_804	SAMN07514449	0.9867744305657604
IS_length_1391-IPR001207_495_804	SAMEA3319398	0.9860396767083027
IS_length_1391-IPR001207_495_804	SAMN09730351	0.9860396767083027
IS_length_1391-IPR001207_495_804	SAMN09730352	0.9860396767083027
IS_length_1391-IPR001207_495_804	SAMN09730353	0.9860396767083027
IS_length_1391-IPR001207_495_804	SAMN09730354	0.9860396767083027
IS_length_1391-IPR001207_495_804	SAMN09730355	0.9860396767083027
IS_length_1391-IPR001207_495_804	SAMN09730356	0.9860396767083027
IS_length_1391-IPR001207_495_804	SAMN09730357	0.9860396767083027
IS_length_1391-IPR001207_495_804	SAMN09730358	0.9860396767083027
IS_length_1391-IPR001207_495_804	SAMN03197149	0.9860396767083027
IS_length_1391-IPR001207_495_804	SAMN07659084	0.9860396767083027
IS_length_1391-IPR001207_495_804	SAMEA1559253	0.9853049228508449
IS_length_1391-IPR001207_495_804	SAMEA104167166	0.9853049228508449
IS_length_1391-IPR001207_495_804	SAMEA4021119	0.9853049228508449
IS_length_1391-IPR001207_495_804	SAMN09730318	0.9845701689933872
IS_length_1391-IPR001207_495_804	SAMN07659479	0.9845701689933872
IS_length_1391-IPR001207_495_804	SAMEA4362514	0.9838354151359294
IS_length_1391-IPR001207_495_804	SAMEA104153414	0.9838354151359294
IS_length_1391-IPR001207_495_804	SAMN04477657	0.9831006612784717
IS_length_1391-IPR001207_495_804	SAMN04477587	0.9823659074210139
IS_length_1391-IPR001207_495_804	SAMN07659736	0.9823659074210139
IS_length_1391-IPR001207_495_804	SAMEA104153387	0.9823659074210139
IS_length_1391-IPR001207_495_804	SAMEA4362527	0.9801616458486407
IS_length_1391-IPR001207_495_804	SAMN07658385	0.9794268919911829
IS_length_1391-IPR001207_495_804	SAMN07312413	0.9786921381337252
IS_length_1391-IPR001207_495_804	SAMN09914676	0.9786921381337252
IS_length_1391-IPR001207_495_804	SAMEA2298761	0.9779573842762674
IS_length_1391-IPR001207_495_804	SAMEA104349913	0.9764878765613519
IS_length_1391-IPR001207_495_804	SAMEA104349914	0.9764878765613519
IS_length_1391-IPR001207_495_804	SAMN06015659	0.9764878765613519
IS_length_1391-IPR001207_495_804	SAMN05969933	0.9764878765613519
IS_length_1391-IPR001207_495_804	SAMN00862110	0.9757531227038942
IS_length_1391-IPR001207_495_804	SAMN00857869	0.9757531227038942
IS_length_1391-IPR001207_495_804	SAMN00672455	0.9757531227038942
IS_length_1391-IPR001207_495_804	SAMN00771410	0.9757531227038942
IS_length_1391-IPR001207_495_804	SAMN01162084	0.9757531227038942
IS_length_1391-IPR001207_495_804	SAMEA104090935	0.9757531227038942
IS_length_1391-IPR001207_495_804	SAMN07511397	0.9757531227038942
IS_length_1391-IPR001207_495_804	SAMEA3594207	0.9757531227038942
IS_length_1391-IPR001207_495_804	SAMEA4555955	0.9750183688464364
IS_length_1391-IPR001207_495_804	SAMEA3697012	0.9750183688464364
IS_length_1391-IPR001207_495_804	SAMEA104090922	0.9742836149889786
IS_length_1391-IPR001207_495_804	SAMEA104090927	0.9742836149889786
IS_length_1391-IPR001207_495_804	SAMEA104090928	0.9742836149889786
IS_length_1391-IPR001207_495_804	SAMEA104090931	0.9742836149889786
IS_length_1391-IPR001207_495_804	SAMN05178545	0.9742836149889786
IS_length_1391-IPR001207_495_804	SAMN07511392	0.9742836149889786
IS_length_1391-IPR001207_495_804	SAMEA3594170	0.9742836149889786
IS_length_1391-IPR001207_495_804	SAMEA104176633	0.9742836149889786
IS_length_1391-IPR001207_495_804	SAMEA104090944	0.9742836149889786
IS_length_1391-IPR001207_495_804	SAMEA104349915	0.973548861131521
IS_length_1391-IPR001207_495_804	SAMN06015660	0.973548861131521
IS_length_1391-IPR001207_495_804	SAMN05178544	0.973548861131521
IS_length_1391-IPR001207_495_804	SAMN07659832	0.973548861131521
IS_length_1391-IPR001207_495_804	SAMN09867619	0.9728141072740631
IS_length_1391-IPR001207_495_804	SAMEA104153409	0.9728141072740631
IS_length_1391-IPR001207_495_804	SAMN09730359	0.9720793534166055
